Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Sex_female
0,3,22,1,0,7,0,0
1,3,26,0,0,7,0,1
1,1,35,1,0,53,0,1
0,3,35,0,0,8,0,0
0,3,26,0,0,8,2,0
0,1,54,0,0,51,0,0
0,3,2,3,1,21,0,0
1,3,27,0,2,11,0,1
1,2,14,1,0,30,1,1
1,3,4,1,1,16,0,1
1,1,58,0,0,26,0,1
0,3,20,0,0,8,0,0
0,3,39,1,5,31,0,0
0,3,14,0,0,7,0,1
1,2,55,0,0,16,0,1
0,3,2,4,1,29,2,0
1,2,26,0,0,13,0,0
0,3,31,1,0,18,0,1
1,3,26,0,0,7,1,1
0,2,35,0,0,26,0,0
1,2,34,0,0,13,0,0
1,3,15,0,0,8,2,1
1,1,28,0,0,35,0,0
0,3,8,3,1,21,0,1
1,3,38,1,5,31,0,1
0,3,26,0,0,7,1,0
1,3,26,0,0,7,2,1
0,3,26,0,0,7,0,0
0,1,40,0,0,27,1,0
1,3,26,0,0,7,2,1
0,2,66,0,0,10,0,0
0,1,42,1,0,52,0,0
1,3,26,0,0,7,1,0
0,3,21,0,0,8,0,0
0,3,18,2,0,18,0,1
1,3,14,1,0,11,1,1
0,3,40,1,0,9,0,1
0,2,27,1,0,21,0,1
0,3,26,0,0,7,1,0
1,2,3,1,2,41,1,1
1,3,19,0,0,7,2,1
0,3,26,0,0,8,0,0
0,3,26,1,0,15,2,0
1,3,26,0,0,7,2,1
0,3,26,2,0,21,1,0
0,3,18,1,0,17,0,1
0,3,7,4,1,39,0,0
0,3,21,0,0,7,0,0
1,2,29,1,0,26,0,1
1,1,26,0,0,35,0,0
1,2,21,0,0,10,0,1
0,3,28,0,0,7,1,0
1,2,5,1,2,27,0,1
0,3,11,5,2,46,0,0
0,3,22,0,0,7,1,0
0,3,4,3,2,27,0,0
0,1,26,0,0,27,1,0
1,3,26,1,1,15,1,0
1,2,29,0,0,10,0,1
0,3,19,0,0,8,0,0
1,3,17,4,2,7,0,1
0,3,26,2,0,8,0,0
0,2,32,0,0,10,0,0
0,3,16,5,2,46,0,1
0,3,26,1,0,14,1,0
0,3,25,0,0,7,0,0
0,3,26,0,0,7,0,0
0,3,26,0,0,8,0,0
1,2,0,0,2,29,0,0
1,3,30,0,0,12,0,1
0,3,22,0,0,9,0,0
1,3,29,0,0,9,0,0
1,3,26,0,0,7,2,1
0,1,28,0,0,47,0,0
1,2,17,0,0,10,0,1
1,3,33,3,0,15,0,1
0,3,16,1,3,34,0,0
0,3,26,0,0,8,0,0
0,3,24,0,0,8,0,0
0,3,29,0,0,8,0,0
0,3,20,0,0,7,0,0
0,3,26,1,2,20,0,0
0,3,59,0,0,7,0,0
0,3,26,0,0,8,0,0
0,1,71,0,0,34,1,0
1,2,34,0,1,23,0,1
0,2,34,1,0,26,0,0
0,3,28,0,0,7,0,1
0,3,26,0,0,7,0,0
0,3,33,0,0,8,0,0
0,3,37,2,0,7,0,0
0,3,28,0,0,7,0,0
1,3,21,0,0,7,0,1
1,3,26,0,0,7,0,0
0,3,38,0,0,7,0,0
1,3,26,1,0,24,2,1
0,1,47,0,0,52,0,0
